Name,StateDistrict,Party,Region,ctthirdread_17791780,ct_18101811,forcebill_1903,landbillsenateamends_19201921
"Reed, Edward C. (J)",NY-22,1,2,0.0,0.0,1.0,NA
"Jewett, Freeborn G. (J)",NY-23,1,2,NA,NA,NA,NA
"Doubleday, Ulysses F. (J)",NY-24,1,2,1.0,1.0,1.0,NA
"Cambreleng, Churchill C. (J)",NY-3A,1,2,1.0,1.0,1.0,0.0
"Verplanck, Gulian C. (J)",NY-3B,1,2,1.0,1.0,1.0,1.0
"White, Campbell P. (J)",NY-3C,1,2,1.0,1.0,1.0,0.0
"Ward, Aaron (J)",NY-4,1,2,1.0,1.0,1.0,0.0
"Brodhead, John C. (J)",NY-7,1,2,0.0,0.0,1.0,NA
"King, John (J)",NY-8,1,2,NA,0.0,1.0,NA
"Pierson, Job (J)",NY-9,1,2,0.0,0.0,1.0,1.0
"Findlay, James (J)",OH-1,1,4,1.0,1.0,1.0,NA
"Kennon, William S., Sr. (J)",OH-10,1,4,0.0,0.0,NA,1.0
"Leavitt, Humphrey H. (J)",OH-11,1,4,0.0,0.0,1.0,1.0
"Thomson, John (J)",OH-12,1,4,1.0,1.0,1.0,1.0
"Russell, William (J)",OH-5,1,4,NA,0.0,1.0,1.0
"Irvin, William W. (J)",OH-9,1,4,1.0,1.0,1.0,1.0
"Sutherland, Joel B. (J)",PA-1,1,2,0.0,0.0,1.0,1.0
"King, Adam (J)",PA-10,1,2,0.0,0.0,1.0,1.0
"Crawford, Thomas H. (J)",PA-11A,1,2,0.0,0.0,1.0,1.0
"McCoy, Robert (J), from November 22, 1831",PA-11B,1,2,0.0,0.0,NA,1.0
"Gilmore, John (J)",PA-16B,1,2,1.0,1.0,1.0,1.0
"Coulter, Richard (J)",PA-17,1,2,1.0,1.0,0.0,1.0
"Horn, Henry (J)",PA-2,1,2,1.0,1.0,1.0,0.0
"Evans, Joshua, Jr. (J)",PA-4A,1,2,0.0,0.0,1.0,1.0
"Mann, Joel K. (J)",PA-5,1,2,0.0,0.0,1.0,NA
"Bucher, John C. (J)",PA-6,1,2,0.0,0.0,1.0,1.0
"King, Henry (J)",PA-7A,1,2,0.0,0.0,1.0,1.0
"Muhlenberg, Henry A. P. (J)",PA-7B,1,2,0.0,0.0,1.0,1.0
"Ihrie, Peter, Jr. (J)",PA-8A,1,2,0.0,0.0,1.0,1.0
"Dewart, Lewis (J)",PA-9A,1,2,0.0,0.0,1.0,1.0
"Ford, James (J)",PA-9B,1,2,NA,0.0,1.0,NA
"Stephens, Philander (J)",PA-9C,1,2,NA,0.0,1.0,NA
"Smith, Samuel A. (J)",PA-8B,1,2,1.0,1.0,1.0,1.0
"Drayton, William (J)",SC-1,1,3,NA,1.0,1.0,NA
"Mitchell, Thomas R. (J)",SC-3,1,3,NA,1.0,1.0,NA
"Felder, John M. (J)",SC-4,1,3,1.0,1.0,0.0,0.0
"Nuckolls, William T. (J)",SC-7,1,3,1.0,1.0,0.0,NA
"Blair, James (J)",SC-8,1,3,1.0,1.0,1.0,NA
"Blair, John (J)",TN-1,1,4,1.0,1.0,1.0,0.0
"Standifer, James I. (J)",TN-3,1,4,1.0,1.0,1.0,0.0
"Isacks, Jacob C. (J)",TN-4,1,4,1.0,1.0,1.0,0.0
"Hall, William (J)",TN-5,1,4,1.0,1.0,1.0,0.0
"Polk, James K. (J)",TN-6,1,4,1.0,1.0,1.0,NA
"Bell, John (J)",TN-7,1,4,1.0,1.0,1.0,NA
"Johnson, Cave (J)",TN-8,1,4,1.0,1.0,0.0,NA
"Fitzgerald, William (J)",TN-9,1,4,1.0,1.0,1.0,NA
"Gordon, William F. (J)",VA-10,1,3,1.0,1.0,0.0,0.0
"Patton, John M. (J)",VA-11,1,3,1.0,1.0,0.0,NA
"Roane, John J. (J)",VA-12,1,3,1.0,1.0,0.0,0.0
"Chinn, Joseph W. (J)",VA-13,1,3,1.0,1.0,0.0,0.0
"Barbour, John S. (J)",VA-15,1,3,1.0,1.0,0.0,1.0
"Allen, Robert (J)",VA-17,1,3,1.0,1.0,0.0,NA
"Johnson, Joseph (J), from January 21, 1833",VA-18,1,3,1.0,1.0,1.0,1.0
"McCoy, William (J)",VA-19,1,3,NA,1.0,1.0,0.0
"Mason, John Y. (J)",VA-2,1,3,1.0,1.0,0.0,0.0
"Craig, Robert (J)",VA-20,1,3,1.0,1.0,1.0,NA
"Draper, Joseph (J), from December 6, 1832",VA-22,1,3,1.0,1.0,1.0,NA
"Archer, William S. (J)",VA-3,1,3,1.0,1.0,0.0,0.0
"Alexander, Mark (J)",VA-4,1,3,1.0,1.0,0.0,0.0
"Bouldin, Thomas T. (J)",VA-5,1,3,1.0,1.0,0.0,NA
"Davenport, Thomas (J)",VA-6,1,3,1.0,1.0,0.0,NA
"Claiborne, Nathaniel H. (J)",VA-7,1,3,1.0,1.0,0.0,0.0
"Coke, Richard, Jr. (J)",VA-8,1,3,1.0,1.0,0.0,0.0
"Stevenson, Andrew (J)",VA-9,1,3,NA,NA,NA,NA
"Barber, Noyes (Anti-J)",CT-At Large,2,1,0.0,0.0,1.0,1.0
"Ellsworth, William W. (Anti-J)",CT-At Large,2,1,0.0,0.0,1.0,1.0
"Huntington, Jabez W. (Anti-J)",CT-At Large,2,1,0.0,0.0,1.0,1.0
"Ingersoll, Ralph I. (Anti-J)",CT-At Large,2,1,0.0,0.0,1.0,NA
"Storrs, William L. (Anti-J)",CT-At Large,2,1,0.0,0.0,NA,NA
"Young, Ebenezer (Anti-J)",CT-At Large,2,1,0.0,0.0,1.0,NA
"Milligan, John J. (Anti-J)",DE-At Large,2,2,0.0,0.0,1.0,1.0
"Tompkins, Christopher (Anti-J)",KY-10,2,4,1.0,1.0,1.0,1.0
"Marshall, Thomas A. (Anti-J)",KY-2,2,4,1.0,1.0,1.0,1.0
"Allan, Chilton (Anti-J)",KY-3,2,4,1.0,1.0,1.0,1.0
"Letcher, Robert P. (Anti-J)",KY-4,2,4,1.0,1.0,1.0,1.0
"White, Edward D. (Anti-J)",LA-1,2,3,0.0,1.0,1.0,1.0
"Thomas, Philemon (Anti-J)",LA-2,2,3,NA,1.0,1.0,1.0
"Bullard, Henry A. (Anti-J)",LA-3,2,3,1.0,1.0,1.0,1.0
"Appleton, Nathan (Anti-J)",MA-1,2,1,0.0,0.0,1.0,NA
"Dearborn, Henry A. S. (Anti-J)",MA-10,2,1,0.0,0.0,1.0,1.0
"Adams, John Quincy (Anti-J)",MA-11,2,1,0.0,0.0,1.0,1.0
"Hodges, James L. (Anti-J)",MA-12,2,1,NA,0.0,1.0,1.0
"Reed, John, Jr. (Anti-J)",MA-13,2,1,0.0,0.0,1.0,1.0
"Choate, Rufus (Anti-J)",MA-2,2,1,NA,0.0,1.0,NA
"Nelson, Jeremiah (Anti-J)",MA-3,2,1,0.0,0.0,1.0,1.0
"Everett, Edward (Anti-J)",MA-4,2,1,0.0,0.0,1.0,1.0
"Davis, John (Anti-J)",MA-5,2,1,0.0,0.0,1.0,1.0
"Kendall, Joseph G. (Anti-J)",MA-6,2,1,0.0,0.0,1.0,1.0
"Grennell, George J., Jr. (Anti-J)",MA-7,2,1,0.0,0.0,1.0,1.0
"Bates, Isaac C. (Anti-J)",MA-8,2,1,0.0,0.0,1.0,NA
"Briggs, George N. (Anti-J)",MA-9,2,1,0.0,0.0,1.0,1.0
"Jenifer, Daniel (Anti-J)",MD-1,2,2,1.0,1.0,1.0,1.0
"Semmes, Benedict J. (Anti-J)",MD-2,2,2,NA,1.0,1.0,NA
"Washington, George C. (Anti-J)",MD-3,2,2,1.0,1.0,1.0,1.0
"Kerr, John L. (Anti-J)",MD-7,2,2,1.0,1.0,1.0,1.0
"Spence, John S. (Anti-J)",MD-8,2,2,1.0,1.0,NA,NA
"Evans, George (Anti-J)",ME-4,2,1,0.0,0.0,1.0,1.0
"Ashley, William H. (Anti-J)",MO-At Large,2,4,NA,0.0,1.0,0.0
"Shepard, William B. (Anti-J)",NC-1,2,3,1.0,1.0,1.0,NA
"Williams, Lewis (Anti-J)",NC-13,2,3,NA,1.0,1.0,1.0
"Condict, Lewis (Anti-J)",NJ-At Large,2,2,NA,0.0,NA,NA
"Condit, Silas (Anti-J)",NJ-At Large,2,2,NA,0.0,NA,NA
"Cooper, Richard M. (Anti-J)",NJ-At Large,2,2,0.0,0.0,0.0,1.0
"Hughes, Thomas H. (Anti-J)",NJ-At Large,2,2,0.0,0.0,0.0,1.0
"Randolph, James F. (Anti-J)",NJ-At Large,2,2,0.0,0.0,1.0,1.0
"Southard, Isaac (Anti-J)",NJ-At Large,2,2,1.0,0.0,NA,1.0
"Taylor, John W. (Anti-J)",NY-17,2,2,0.0,0.0,1.0,1.0
"Pendleton, Edmund H. (Anti-J)",NY-5,2,2,0.0,0.0,1.0,1.0
"Wilkin, Samuel J. (Anti-J)",NY-6,2,2,NA,0.0,1.0,1.0
"Whittlesey, Elisha (Anti-J)",OH-13,2,4,1.0,1.0,1.0,1.0
"Cooke, Eleutheros (Anti-J)",OH-14,2,4,NA,0.0,1.0,1.0
"Corwin, Thomas (Anti-J)",OH-2,2,4,1.0,1.0,1.0,1.0
"Crane, Joseph H. (Anti-J)",OH-3,2,4,0.0,0.0,1.0,1.0
"Vance, Joseph (Anti-J)",OH-4,2,4,1.0,NA,NA,NA
"Creighton, William, Jr. (Anti-J)",OH-6,2,4,1.0,1.0,1.0,1.0
"Vinton, Samuel F. (Anti-J)",OH-7,2,4,0.0,0.0,1.0,1.0
"Stanbery, William (Anti-J)",OH-8,2,4,1.0,1.0,0.0,1.0
"Burd, George (Anti-J)",PA-14,2,2,0.0,0.0,1.0,1.0
"Watmough, John G. (Anti-J)",PA-3,2,2,0.0,0.0,1.0,1.0
"Burges, Tristam (Anti-J)",RI-At Large,2,1,NA,0.0,1.0,NA
"Pearce, Dutee J. (Anti-J)",RI-At Large,2,1,0.0,0.0,1.0,1.0
"Arnold, Thomas D. (Anti-J)",TN-2,2,4,0.0,0.0,0.0,1.0
"Newton, Thomas, Jr. (Anti-J)",VA-1,2,3,1.0,1.0,1.0,1.0
"Mercer, Charles F. (Anti-J)",VA-14,2,3,NA,0.0,1.0,1.0
"Armstrong, William (Anti-J)",VA-16,2,3,NA,1.0,1.0,NA
"Maxwell, Lewis (Anti-J)",VA-21,2,3,1.0,1.0,1.0,1.0
"Hall, Hiland (Anti-J), from January 1, 1833",VT-1,2,1,0.0,0.0,1.0,1.0
"Everett, Horace (Anti-J)",VT-3,2,1,0.0,0.0,1.0,1.0
"Allen, Heman (Anti-J)",VT-4,2,1,0.0,0.0,1.0,1.0
"Barnwell, Robert W. (N)",SC-2,3,3,NA,1.0,0.0,0.0
"McDuffie, George (N)",SC-5,3,3,NA,1.0,0.0,NA
"Davis, Warren R. (N)",SC-6,3,3,1.0,1.0,0.0,NA
"Griffin, John K. (N)",SC-9,3,3,NA,1.0,0.0,0.0
"Collier, John A. (Anti-Mas)",NY-21,4,2,NA,0.0,1.0,NA
"Barstow, Gamaliel H. (Anti-M)",NY-25,4,2,0.0,0.0,1.0,1.0
"Babcock, William (Anti-M)",NY-26A,4,2,0.0,0.0,0.0,1.0
"Dickson, John (Anti-M)",NY-26B,4,2,0.0,0.0,1.0,1.0
"Whittlesey, Frederick (Anti-M)",NY-27,4,2,0.0,0.0,1.0,1.0
"Wheeler, Grattan H. (Anti-M)",NY-28,4,2,0.0,0.0,0.0,NA
"Tracy, Phineas L. (Anti-M)",NY-29,4,2,1.0,NA,1.0,NA
"Cooke, Bates (Anti-M)",NY-30,4,2,0.0,0.0,1.0,1.0
"Allison, Robert (Anti-Mas)",PA-12,4,2,0.0,0.0,1.0,NA
"Stewart, Andrew (Anti-Mas)",PA-14,4,2,NA,NA,1.0,1.0
"McKennan, Thomas M.T. (Anti-M)",PA-15,4,2,0.0,0.0,1.0,1.0
"Denny, Harmar (Anti-M)",PA-16A,4,2,0.0,0.0,1.0,1.0
"Banks, John (Anti-M)",PA-18,4,2,0.0,0.0,1.0,1.0
"Hiester, William (Anti-Mas)",PA-4B,4,2,0.0,0.0,1.0,1.0
"Potts, David, Jr. (Anti-Mas)",PA-4C,4,2,0.0,0.0,1.0,1.0
"Slade, William (Anti-M), from November 1, 1831",VT-2,4,1,0.0,0.0,1.0,1.0
"Cahoon, William (Anti-M)",VT-5,4,1,0.0,0.0,1.0,NA
